fecha,buy_in,total_pagado,itm,posicion,total_jugadores,premio,tipo,jugadores_por_mesa,mesa_final,ciegas_iniciales,tiempo_de_ciega,registro_tardio,ciegas_en_burbuja
2024-10-13,"10,00","10,00",False,63,176,"2,25",PKO,9,False,"50,00",6,"48,00","0,00"
2024-10-13,"5,00","5,00",False,1311,2865,"0,00",MYSTERY,8,False,"50,00",8,"67,00","0,00"
2024-10-13,"10,00","10,00",False,3697,6621,"0,00",MYSTERY,9,False,"50,00",6,"48,00","0,00"
2024-10-13,"10,00","10,00",False,654,1876,"0,00",MYSTERY,8,False,"125,00",5,"75,00","0,00"
2024-10-13,"5,00","5,00",True,1,647,"439,38",PKO,6,True,"100,00",5,"85,00","26,00"
2024-10-13,"5,00","5,00",False,775,1476,"0,00",NORMAL,9,False,"500,00",5,"90,00","0,00"
2024-10-15,"10,00","20,00",False,328,522,"0,00",PKO,6,False,"100,00",10,"111,00","0,00"
2024-10-15,"5,00","10,00",False,418,649,"0,00",NORMAL,6,False,"200,00",10,"141,00","0,00"
2024-10-15,"5,00","5,00",False,809,1334,"0,00",MYSTERY,8,False,"100,00",8,"105,00","0,00"
2024-10-15,"5,00","5,00",False,313,616,"0,00",PKO,6,False,"66,00",8,"73,00","0,00"
2024-10-16,"5,00","5,00",False,503,2285,"0,00",MYSTERY,8,False,"49,00",8,"74,00","0,00"
2024-10-16,"5,00","5,00",False,450,825,"0,00",NORMAL,6,False,"30,00",10,"42,00","0,00"
2024-10-16,"10,00","20,00",False,442,2780,"2,25",PKO,8,False,"200,00",8,"150,00","0,00"
2024-10-16,"5,00","5,00",False,151,171,"0,00",NORMAL,6,False,"100,00",8,"95,00","0,00"
2024-10-16,"10,00","10,00",False,337,621,"0,00",PKO,6,False,"200,00",8,"135,00","0,00"
2024-10-16,"10,00","10,00",True,259,2189,"17,30",MYSTERY,8,False,"100,00",8,"108,00","6,00"
2024-10-16,"5,00","5,00",False,1174,1923,"0,00",MYSTERY,8,False,"50,00",8,"66,00","0,00"
2024-10-16,"10,00","10,00",False,250,655,"4,50",PKO,8,False,"100,00",8,"100,00","0,00"
2024-10-17,"5,00","5,00",True,52,341,"4,41",PKO,9,False,"50,00",5,"18,00","10,00"
2024-10-17,"10,00","10,00",False,103,147,"0,00",PKO,6,False,"83,00",3,"31,00","0,00"
2024-10-17,"5,00","5,00",False,243,843,"0,00",NORMAL,6,False,"50,00",5,"46,00","0,00"
2024-10-17,"5,00","5,00",True,19,1188,"31,43",NORMAL,9,False,"250,00",5,"71,00","11,00"
2024-10-17,"10,00","10,00",False,769,1235,"0,00",MYSTERY,8,False,"31,00",5,"25,00","0,00"
2024-10-17,"20,00","20,00",False,9,242,"82,00",PKO,6,False,"200,00",5,"71,00","0,00"
2024-10-18,"5,00","5,00",False,63,173,"0,00",PKO,9,False,"40,00",8,"22,00","0,00"
2024-10-18,"10,00","10,00",False,66,175,"4,50",PKO,9,False,"25,00",6,"33,00","0,00"
2024-10-18,"5,00","5,00",True,14,253,"21,37",NORMAL,6,False,"31,00",10,"32,00","70,00"
2024-10-28,"10,00","10,00",False,726,1702,"0,00",PKO,8,False,"50,00",8,"78,00","0,00"
2024-10-28,"10,00","10,00",False,359,461,"0,00",PKO,6,False,"100,00",8,"121,00","0,00"
2024-10-28,"5,00","10,00",False,919,1197,"0,00",MYSTERY,8,False,"125,00",8,"120,00","0,00"
2024-10-28,"10,00","10,00",False,337,480,"2,25",PKO,8,False,"166,00",8,"110,00","0,00"
2024-10-28,"10,00","10,00",False,659,1021,"0,00",MYSTERY,8,False,"71,00",8,"82,00","0,00"
2024-10-29,"10,00","10,00",True,107,1217,"19,01",MYSTERY,8,False,"63,00",8,"87,00","37,00"
